class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,subclass_of_value
Concept,hedgehog,,,hedgehog,hedgehog.md,7jDKPUbHNXxu,118094668396699640451,identifier,http://www.wikidata.org/entity/Q3145037,,,,
Concept,hedgehog,,,hedgehog,hedgehog.md,7jDKPUbHNXxu,118094668396699640451,described_by_source,,,,,
Concept,hedgehog,,,hedgehog,hedgehog.md,7jDKPUbHNXxu,118094668396699640451,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZsNG8yssbKzY,animal,
Concept,hedgehog,,,hedgehog,hedgehog.md,7jDKPUbHNXxu,118094668396699640451,subclass_of,,,,,
