class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045368,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV17920010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,identifier,https://rism.online/sources/990055829,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,title,,,,,,Il primo libro de madrigali a quatro voci di m. Cipriano De Rore,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1569.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE045505,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00072033,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00072033/manifest,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]",1550.0,[[Giovanni de Bulghat]],https://edit16.iccu.sbn.it/titolo/CNCE045368,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,L6w6si6wBxkF,373231501765664926783,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",[[Cipriano de Rore]],,,,,
