class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,work_location,,,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25bYJWyLYHmp,Delia,Compagnia dei Confidenti,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,related_to,,,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,notable_work,,,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,present_in_work,,,,,,,,,,,,,,,,,
Agent,"['Camilla Rocha Nobili', 'Delia']",Camilla Rocca Nobili,Camilla Rocca Nobili.md,Camilla Rocca Nobili,hk9opoYyzkNU,820055061782883070709,identifier,,,,,,,,,,,,,,,,,
