class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,work_location,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,member_of,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,related_to,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,notable_work,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,interested_in,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,catalog_identifier,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,TCeZCdc6eEA9,519749958344760286384,present_in_work,,,,,,,,,,,,,
