class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,identifier,https://edit16.iccu.sbn.it/titolo/CNCE014418,,,,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,title,,,,,"Notte solazzeuole di cento enigmi da indouinare, aggiontoui altri sette sonetti nel medesimo genere ... Di Giulio Cesare dalla Croce",,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,inception,,,,,,1599.0,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,has_version,,,,,,,https://brixiana.jarvis.memooria.org/meta/iiif/36f75618-be81-4a3b-a705-38eeaeec7a97/manifest,https://edit16.iccu.sbn.it/titolo/CNCE014418,1599.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PvBHcFy5Dvdr', 'label': 'Verona'}]",https://edit16.iccu.sbn.it/titolo/CNCE014418,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfF8tq3cpZ9P,Giulio Cesare Croce,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BL66bhcML892,riddle,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,based_on,,,,,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,has_part,,,,,,,,,,,,,,,,,,,,
Book,Notte solazzevole di cento enigmi da indovinare,,,Notte solazzevole di cento enigmi da indovinare,Notte solazzevole di cento enigmi da indovinare.md,VKfBkjCWpLCB,563559954219856119414,depicts,,,,,,,,,,,,,,,,,,,,
