class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,identifier,http://www.wikidata.org/entity/Q1499958,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,described_by_source,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,instance_of,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,inception,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,dissolved,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,location,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,official_website,,,,,,,https://www.kunstmuseum.nl/,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,catalog_identifier,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,member,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,interested_in,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,notable_work,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,related_to,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,oUhKi8DpTgQN,938278041525523462847,motto,,,,,,,,,,,,,
