class,aliases,description,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,hwaVpgj7GbXT,824194209018973334854,instance_of,,,
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,hwaVpgj7GbXT,824194209018973334854,subclass_of,,,
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,hwaVpgj7GbXT,824194209018973334854,identifier,,,
