class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,identifier,http://www.wikidata.org/entity/Q351485,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia delle Virtù,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,occupation,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FX9tMBFoYMbH,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Jacopo Bonfadio,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YJP9QUN4Mbfw,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Vittoria Colonna,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,chpVB5vmgi3P,716035089856179532785,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18091.0
