class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,identifier,http://www.wikidata.org/entity/Q42529865,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a5ZdKeWZKEbG,(Martini Salvi 2012),,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKN5rycDjAB2,1560.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia dei Travagliati di Siena,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0256,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16249,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,cnEPDxq7rFvj,717628643887544233982,present_in_work,,,,,,,,,,,,,,,,,,,,
