class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,inception_sourcing_circumstances,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_label,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HEJhw7aUDJZz,(Vagenheim 2017),,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,inception,,,,,,1540.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HEJhw7aUDJZz', 'label': '(Vagenheim 2017)'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,dissolved,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",147.0,,,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,member,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/55W2N4Jbdjz3,Francesco Maria Molza,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,member,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JeipotRf6rFA,Pirro Ligorio,,,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kw3fHBF6Lnp4,classical antiquity,
Organisation,Accademia dello Sdegno di Roma,,['Accademia degli Sdegnati'],Accademia dello Sdegno di Roma,Accademia dello Sdegno di Roma.md,ZeHYJAGwEQHj,652844742982535963453,notable_work,,,,,,,,,,,,,,,,,,,
