class,aliases,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,identifier,http://www.wikidata.org/entity/Q7198,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,work_location,,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,member_of,,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,related_to,,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,notable_work,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WNXSRKHEc2me,Metamorphoses,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,interested_in,,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Ovidio', 'Ovidius', 'Publius Ovidius Naso']",Ovid,Ovid.md,Ovid,WseEXdd2ezUW,595774877940334303378,present_in_work,,,,,,,,,,,,,,,
