class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,identifier,https://rism.online/sources/990020990,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV09580010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,identifier,http://id.sbn.it/bid/MUS0151843,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,identifier,https://musicare.beniculturali.unipd.it/database/editions/005014.html,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FcRrGt78cbeW,music score,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,title,,,,,,"Canzonette ed arie a tre voci di Gio. Ghizzolo da B rescia novamente composte, et date in luce. Libro Primo",,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,inception,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,has_version,,,,,,,,http://id.sbn.it/bid/MUS0151843,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQEDP3LYYYix', 'label': 'Alessandro Raverio'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_Z/Z217/,,,,,,,,
NotatedMusic,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,,,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo,Canzonette ed arie a tre voci di Gio. Ghizzolo. Libro primo.md,kurJaiVM3Miq,885478212397495501502,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cxBfmd4dEVpm,Giovanni Ghizzolo,,,,,
