class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,part_of,,,,,,16.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NdoMgsS6yGTo,Alla S. Dianora Terracina. Sorella Carissima.,Rime de la signora Laura Terracina,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yA7EuAeTMCw,perseverance,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TPCCdMb4KspG,destiny,,,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,text,,,,,,,,,,,,,,,,,,,,,,"Fate in me quel si puote o cieli o sorte;
Et fiammi contra tutti i vostri inganni;
Che un voler manterrò fino a la morte,
Un cor & un pensier fra tanti affanni.
Starò nell'esser mio costante e forte,
Così ne i primi, qual ne gli ultimi anni:
Anzi morrò, se ben il ver s'estima,
Prima che colpo di fortuna, o prima.",,
PoeticWork,Fate in me quel si puote o cieli o sorte,Fate in me quel si puote o cieli o sorte.md,Fate in me quel si puote o cieli o sorte,5DNfHWgjqYed,66021248750143851197,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021)
