class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_role,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,identifier,http://www.wikidata.org/entity/Q17354962,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,described_by_source,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,work_location,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,member_of,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Tg2twUHRexM5,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Innominati di Parma,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,related_to,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,notable_work,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,interested_in,,,,,,,,,,,,,,,,,
Agent,Eugenio Visdomini,,,Eugenio Visdomini,Eugenio Visdomini.md,EmFi2vw82wh5,263285259956232857202,catalog_identifier,,,,,,,,,,,,,,,,,
