class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F168650000010101_000000253800C,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/k5zGfCWxaXXR,Pietro Vinci,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YwcxDqCUtgfG,Di Pietro Vinci Il terzo libro de madrigali a cinque voci,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,instrumentation,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,based_on,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,derivative_work,,,,,,,,,,,,,,
MusicComposition,Ne la dolce stagion di primavera (Vinci),,,Ne la dolce stagion di primavera (Vinci),Ne la dolce stagion di primavera (Vinci).md,cfZT49rMpbbv,715215514855865450479,text,,,,,,,,,,,,,,
