class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,member_of,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,related_to,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,notable_work,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,interested_in,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,catalog_identifier,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,3h4mbfMd4VTz,34772759989916036351,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q51885403
