class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label
Concept,afterlife,,,afterlife,afterlife.md,RV2MqJbGSsnJ,484402807092239183488,identifier,http://www.wikidata.org/entity/Q623282,,,
Concept,afterlife,,,afterlife,afterlife.md,RV2MqJbGSsnJ,484402807092239183488,described_by_source,,,,
Concept,afterlife,,,afterlife,afterlife.md,RV2MqJbGSsnJ,484402807092239183488,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TYSwPAjmpAM9,philosophical concept
