class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,identifier,http://www.wikidata.org/entity/Q48547,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,described_by_source,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,work_location,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,member_of,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,occupation,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FmA2BR2ZNPoV,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}",Lorenzo Torrentino,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,notable_work,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,interested_in,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,79LLsc6yxjW4,105830161784491030187,catalog_identifier,,,,,,,,,,,,,,,
