class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,work_location,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,member_of,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,related_to,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,notable_work,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,interested_in,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,catalog_identifier,,,,,,,,,,,,,
Agent,Tommaso Pecci,Tommaso Pecci.md,Tommaso Pecci,cGzqnqhtHMWc,707050069695156842011,present_in_work,,,,,,,,,,,,,
