class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label,identifier_value
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,work_location,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,member_of,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MP7QJCKH94z7,princess,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,related_to,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,notable_work,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,interested_in,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,catalog_identifier,,,,,,,,,,,,,,,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,
Agent,Isabella,Isabella.md,Isabella,74A96yzGx4d7,103955167567617764519,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q100429960
