class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,identifier,http://www.wikidata.org/entity/Q61613302,,,,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GiHfDP4DdMdp,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia degli Incogniti di Venezia,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia degli Umoristi di Roma,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,related_to,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15076.0,
Agent,Giovanni Soranzo,According to OPAC SBN he was known as Appagato between the Accademici Spensierati.,,Giovanni Soranzo,Giovanni Soranzo.md,nXkPKNmo3NoD,918747697266092941634,present_in_work,,,,,,,,,,,,,,,,,,,
