class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F072370000101_000000181100C,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KGUmK3TLsKkL,Girolamo Parabosco,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,part_of,,,,,,,,,42.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KvrS562Hic77,Rime di m. Girolamo Parabosco,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FS23yoaJjtRG,martyrdom,,,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Come potrò narrarvi il dolor mio,,"[""Come potrò narrarv'il dolor mio""]",Come potrò narrarvi il dolor mio,Come potrò narrarvi il dolor mio.md,2fDabMqgM4Qn,13468730270375739152,text,,,,,,,,,,,,,,,,,,,,,,,"Come potrò narrarvi il dolor mio
Donna, se innanzi al vostro almo conspetto
Provo sì gran diletto,
Ch'ogni cosa di me pongo in oblio?

Ma voi, che nel mio petto,
Eterno albergo bavete
E'l mio martir vedete,
Perché non provedete,
O ch'io non provi quel martir assente;
O che mai sempre a voi resti presente?"
