class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,identifier,http://www.wikidata.org/entity/Q141412198,,,,,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,work_location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TF9VLuUZpbf7,Acceso,Accademia dei Rinnovati di Ferrara,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,related_to,,,,,,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,notable_work,,,,,,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Camillo Della Valle,Camillo Della Valle.md,Camillo Della Valle,45CaEEfabDR5,42425004025971532602,present_in_work,,,,,,,,,,,,,,,,,,
