class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,identifier,http://id.sbn.it/bid/MUS0154764,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV14260010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,identifier,https://rism.online/sources/990042033,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,identifier,https://musicare.beniculturali.unipd.it/database/editions/005670.html,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRXM2UxsVRJj,Musicare DB,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,title,,,,,,Madrigali à cinque voci : Libro primo / di Don Alfonso Montesano da Maida,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,inception,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,has_version,,,,,,,,http://id.sbn.it/bid/MUS0154764,1622.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq', 'label': 'Napoli'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA387/,Altus and quintus are missing.,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fKPHno6VcEYj,Alfonso Montesano,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,nwQ9xGK7kzxB,927307980083121123969,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGvRViUmPajp,quintus
