class,description,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F023230000101_PPPP00286400C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hE2ZsuJLTNE,Flora Zuzzeri,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,part_of,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ht7kbEpS7gpS,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mhCahuRJi3kD,beauty,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iNzQpg7zFBaG,flower,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Y8F34DC8njH5,thorn,,,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,,La natura compose,La natura compose.md,La natura compose,kpdqXbDj2gkV,883588924924498949967,text,,,,,,,,,,,,,,,,,,,,,,,,"La natura compose
Cotesto vago fiore,
O pur bel magistero egli è d'amore?
Deh chi così vicine
Le pene, e i dolci premi in lui ripose?
E chi d'acute spine
Cinse le belle foglie,
Onde s'incauta man tal'hora il coglie,
Punta in un punto solo
N'have allegrezza e duolo:
Oh fior meraviglioso, ond'ancor dura
Oh fior meraviglioso, ond'ancor dura
Fra l'amor lite incerta, e la natura."
