class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,identifier,https://edit16.iccu.sbn.it/titolo/CNCE079995,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,described_by_source,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,title,,,,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli. Con alcune annotationi del medesimo, sopra i luoghi, che le ricercano per l'intendimento delle sentenze, o per le regole et precetti della lingua, et dell'ornamento",,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,inception,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrrS6eL33FJc', 'label': 'Melchiorre Sessa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1558.0,https://www.polodigitalenapoli.it/it/viewer/mirador/viewer?domain=sbn&id=LO1E000757,https://dam.polodigitalenapoli.it/istituto-italiano-per-gli-studi-storici/containers/yRdroBl/manifest,https://edit16.iccu.sbn.it/titolo/CNCE079995,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,subject,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,has_part,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",LME5KJSzDF8c,378401417000421665317,based_on,,,,,,,,,,,,,,,,,,
