class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,part_of,,,,,,,,"Poems of Love, 4",46.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PVJ92w9D4VE7,(Gambara 2014),,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yA7EuAeTMCw,perseverance,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,depicts,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,text,,,,,,,,,,,,,,,,,,,,,"Amor: quanto i miei giorni aspri sian stati, 
Ed or più che mai sian, dir non tel voglio, 
Che 'l sai, e teco me ne dolsi e doglio,
Sol per servir chi mi diè in sorte i fati, 

Ma, avendo in lui li miei pensier locati,
E ferma in adorarlo qual dur scoglio, 
Sperava mitigar tuo fiero orgoglio,
Ma vedo i van disegni esser fallati, 

Ché ognor ti sforzi, con crudeli inganni, 
Congionger a' miei dì aspro e dur stento 
Per far che lunghi sian miei crudi affanni; 

Che, se un diaspro allegerì il tormento, 
Per esser di chi fu non i miei danni 
Cessati son ma più aspri ad ogn'or sento.",,
PoeticWork,Amor quanto i miei giorni aspri sian stati,,,Amor quanto i miei giorni aspri sian stati,Amor quanto i miei giorni aspri sian stati.md,APEuEUzyNEVK,172771823920171072949,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
