class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_IIIF_manifest,has_version_holding_institution,has_version_external_source,has_version_publication_date,has_version_place_of_publication,has_version_note,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/LIBX00001809,,,,,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,identifier,https://edit16.iccu.sbn.it/titolo/CNCE002287,,,,,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,title,,,,,Rime della signora Tullia di Aragona; et di diuersi a lei,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,inception,,,,,,,,,,,,,,,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10190169/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10190169,1549.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",Reprint.,https://edit16.iccu.sbn.it/titolo/CNCE002288,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10A55303,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://viewer.onb.ac.at/10A55303/,1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",,https://edit16.iccu.sbn.it/titolo/CNCE002287,,,,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,Benedetto Varchi,,,,
Book,Rime della signora Tullia di Aragona et di diversi a lei,,,Rime della signora Tullia di Aragona et di diversi a lei,Rime della signora Tullia di Aragona et di diversi a lei.md,54ahrKe9RtC2,62839453301600348955,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af7EBC2tVdqi,Eleanor of Toledo,,,,
