class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R6p8tmcvoNZA,Michael Maier,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/k8Rq6Wtbkqw4,IV,62-65,Cantilenae intellectuales,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,based_on,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,derivative_work,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,astrology,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,poetic_type,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,metre,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZrQCbqiD2eU2,Moon,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JUdJWGgBjkYx,animal,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7yyPzh3hWuXs,Latin,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,WG5gezVBm8nJ,582897024652690794856,text,,,,,,,,,,,,,,,,,,,,
