class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,shepherd,shepherd.md,shepherd,bDmTfHcyfkqv,685243034576146615783,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6oNeDcfvTHyK,occupation,,
Concept,shepherd,shepherd.md,shepherd,bDmTfHcyfkqv,685243034576146615783,subclass_of,,,,
Concept,shepherd,shepherd.md,shepherd,bDmTfHcyfkqv,685243034576146615783,identifier,,,,http://www.wikidata.org/entity/Q81710
