class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,identifier,https://edit16.iccu.sbn.it/titolo/CNCE001317,,,,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hDMFBzVtguAY,(Novellari 1993),,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f9VxNiphXPML,catalogue,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,title,,,,,,"Della fabrica del mondo di m. Francesco Alunno da Ferrara libri X ne' quali si contengono le voci di Dante, del Petrarca, del Boccaccio, del Bembo & d'altri buoni autori ... Di nuouo ristampati et ampliati di più di 1500 uocaboli ..",,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,inception,,,,,,,1570.0,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE001317,1570.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://books.google.it/books?id=Mm8nTmt5WGoC,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PuUHPWqDuuV8,Francesco Alunno,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RQhfkTQ6u2pJ,rhetorical figure,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,depicts,,,,,,,,,,,,,,,,,,,,,,
Book,Della fabrica del mondo di m. Francesco Alunno,,['La fabbrica del mondo'],Della fabrica del mondo di m. Francesco Alunno,Della fabrica del mondo di m. Francesco Alunno.md,5moYc4WLTYdA,77764358146630147853,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
