class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LNxSnoqrbvDw,Gaspara Stampa,60.0,Rime di madonna Gaspara Stampa,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,depicts,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Chi può contar il mio felice stato,,,Chi può contar il mio felice stato,Chi può contar il mio felice stato.md,6ugZ3eMr8zQD,101252112536157450323,text,,,,,,,,,,,,,,,,,,,,,,,"Chi può contar' il mio felice stato.
L'alta mia gioia, e gli alti miei diletti?
O un di que' del ciel angeli eletti,
O altro amante, che l'habbia provato.

Io mi sto sempre al mio Signor' a lato
Godo il lampo degli occhi, e'l suon de i detti,
Vivomi de'divini alti concetti,
Ch'escon da tanto ingegno e sì pregiato.

Io mi miro sovente il suo bel viso,
E mirando mi par veder'insieme
Tutta la gloria e'l ben del Paradiso,

Quel, che sol turba in parte la mia speme,
È'l timor, che da me non sia diviso,
Che'l vorrei meco fin'a l'hore estreme."
