class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8tGS59uVCGpC,Innocenza Carrari,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,part_of,,,,,,,,Innocenza Carrari.,60.0,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJFhRHGa4FSM,swan,,,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"A che Plinio, ti duoli, e ti lamenti",,,"A che Plinio, ti duoli, e ti lamenti","A che Plinio, ti duoli, e ti lamenti.md",FuKmjDjwv3A3,286843245374151831004,text,,,,,,,,,,,,,,,,,,,,,,,,,"A che Plinio, ti duoli, e ti lamenti,
Con interrotti accenti?
E che pianti di Cigni, e che funeste
Insegne, ohimè, son queste?
Forse il tuo Brescia è morto, e i tuoi contenti?
Con infelice sorte,
Quasi Cigno ei cantò vicino a morte,
E fu la Morte ingrata,
E più che mai spietata,
S'have la nostra gioia e spenta, e cassa:
Sembrò ei celeste in Terra,
Ed r fa al tempo guerra:
Ah non è morto, dorme, il pianto lassa
Per non destarlo, e taci, e mira, e passa."
