class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,identifier,http://www.wikidata.org/entity/Q3763004,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cibGpsivH4gP,(Lucioli 2024),,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,work_location,,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,member_of,,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,related_to,,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GhA3XmpeZfqx,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cibGpsivH4gP', 'label': '(Lucioli 2024)'}]",arie per cantare,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giandomenico Martoretta,,,Giandomenico Martoretta,Giandomenico Martoretta.md,THDdx5np8gBo,521401869094246779123,present_in_work,,,,,,,,,,,,,,,,,,
