class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value
Concept,ars combinatoria,ars combinatoria,ars combinatoria.md,RmaA75A9H4A7,490397278890726958007,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TYSwPAjmpAM9,philosophical concept,
Concept,ars combinatoria,ars combinatoria,ars combinatoria.md,RmaA75A9H4A7,490397278890726958007,subclass_of,,,
