class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,identifier,http://www.wikidata.org/entity/Q1867806,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,described_by_source,,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,work_location,,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2uSronTLfPLh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd,editor,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,related_to,,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,notable_work,,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,interested_in,,,,,,,,,,,,,,,,,
Agent,Ludovico Dolce,,['Ludovico Dolce'],Lodovico Dolce,Lodovico Dolce.md,gNdzPXA2ZGEx,791633445818264635302,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16104.0
