class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,identifier,http://www.wikidata.org/entity/Q1163476,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FeQqwKLG5FHE,literary character,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,work_location,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,member_of,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QD7ZE8NxGr96,knight,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7fvcZ2G9nhHD,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf', 'label': 'lover'}",Bradamante,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,notable_work,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,interested_in,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Ruggiero,,,Ruggiero,Ruggiero.md,JA26R7Tijr8L,333071155806565267458,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso
