class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,identifier,https://edit16.iccu.sbn.it/titolo/CNCE017686,,,,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,described_by_source,,,,,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,instance_of,,,[[catalogue]],,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,instance_of,,,[[dictionary]],,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,title,,,,La seconda libraria del Doni,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,inception,,,,,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,has_version,,,,,,1551.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nNtFe5mje86L', 'label': 'Francesco Marcolini'}",https://edit16.iccu.sbn.it/titolo/CNCE017686,https://books.google.it/books?id=jlX8x6ARFJsC,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,contributor,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",Anton Francesco Doni,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,subject,,,,,,,,,,,,,,[[academy]],,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtNYvYPNHggc,satire,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,has_part,,,,,,,,,,,,,,,,,
Book,La seconda libraria del Doni,"Alphabetic list of academies and their members, some of them fictive.",,La seconda libraria del Doni,La seconda libraria del Doni.md,cTbvdeNs9gaE,710886891879211889277,based_on,,,,,,,,,,,,,,,,,
