class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,identifier,http://www.wikidata.org/entity/Q232916,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,described_by_source,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,work_location,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,member_of,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bf69VXaE8ZB,cartographer,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/avjhw57XthFv,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]",Bentveughels,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,notable_work,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,interested_in,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,P8ZrGgLYzuwX,435728370345786031139,catalog_identifier,,,,,,,,,,,,,,,,
