class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,work_location,,,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,member_of,,,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GjgbJp4WdXYw,Scipione Dentice,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,notable_work,,,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,interested_in,,,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,catalog_identifier,,,,,,,,,,,,,,
Agent,Fabrizio Dentice,Fabrizio Dentice,Fabrizio Dentice.md,PWCGRf6nbqJ5,443555951896933577520,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q635911
