class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_note,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,identifier,https://edit16.iccu.sbn.it/titolo/CNCE027617,,,,,,,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FLIBX00006655,,,,,,,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,title,,,,,,Delle rime del signor Torquato Tasso. Parte prima [-seconda] insieme con altri componimenti del medesimo,,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,inception,,,,,,,1582.0,,,,,,,,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,has_version,,,,,,,,Volume 2,https://books.google.it/books?id=ooxqLK6qcdwC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1582.0,https://edit16.iccu.sbn.it/titolo/CNCE027617,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ETdYkUnuXfEw', 'label': 'Aldo Manuzio'}",,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,has_version,,,,,,,,Volume 1,https://books.google.it/books?id=wXSHRrk0uTQC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1582.0,https://edit16.iccu.sbn.it/titolo/CNCE027617,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ETdYkUnuXfEw', 'label': 'Aldo Manuzio'}",,,,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT', 'label': 'Torquato Tasso'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,
Book,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,,,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo,Delle rime del signor Torquato Tasso. Parte prima (-seconda) insieme con altri componimenti del medesimo.md,ht7kbEpS7gpS,822938264686996306380,subject,,,,,,,,,,,,,,,,,,,,,,
