class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,"['poetic improvisation', 'glosa']",extemporary poetry,extemporary poetry.md,extemporary poetry,JjrdtVHFL2hc,345326633752819395040,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g4TPeea9wGN7,form of creative work,,
Concept,"['poetic improvisation', 'glosa']",extemporary poetry,extemporary poetry.md,extemporary poetry,JjrdtVHFL2hc,345326633752819395040,subclass_of,,,,
Concept,"['poetic improvisation', 'glosa']",extemporary poetry,extemporary poetry.md,extemporary poetry,JjrdtVHFL2hc,345326633752819395040,identifier,,,,http://www.wikidata.org/entity/Q3149507
