class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,identifier,http://www.wikidata.org/entity/Q334154,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cvnPagTJkSUk,(Testa 2020),,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,work_location,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,member_of,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gMdbT5JfGDFV,philosopher,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,related_to,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cvnPagTJkSUk', 'label': '(Testa 2020)'}]",astrology,,,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16280.0,
Agent,Giovanni Battista Della Porta,,['Giambattista Della Porta'],Giovanni Battista Della Porta,Giovanni Battista Della Porta.md,V4FT8DAEB3sz,557978730621004967675,present_in_work,,,,,,,,,,,,,,,,,,,
