class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,identifier,http://www.wikidata.org/entity/Q35794,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,described_by_source,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,instance_of,,,[[university]],,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,inception,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,dissolved,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,location,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,official_website,,,,,,,https://cudl.lib.cam.ac.uk/,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,catalog_identifier,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,member,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,interested_in,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,o7JHUS8r7imh,930529008327420790656,notable_work,,,,,,,,,,,
