class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,identifier,https://edit16.iccu.sbn.it/titolo/CNCE077096,,,,,,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,title,,,,,"Dieci canti di Sacripante, di messer Lodouico Dolce, quai seguitano Orlando Furioso, nouamente ristampati, historiati, & con ogni diligentia corretti",,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,inception,,,,,,1535.0,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE038640,1539.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SyEcdpw8fUFq', 'label': 'Giovanni Andrea Valvassore'}",https://books.google.it/books?id=8FBGM9Y-iB8C,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gNdzPXA2ZGEx,Lodovico Dolce,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f3JyVVYfBD7W,Sacripante,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,based_on,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Dieci canti di Sacripante di messer Lodovico Dolce,,,Dieci canti di Sacripante di messer Lodovico Dolce,Dieci canti di Sacripante di messer Lodovico Dolce.md,TfhVnzLHyioD,529543534140566869916,depicts,,,,,,,,,,,,,,,,,,,,,
