class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,identifier,https://edit16.iccu.sbn.it/titolo/CNCE016141,,,,,,,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL,(Grafton 1990),,,,,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NMqic8eqERvf,oration,,,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,title,,,,,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita. Antonij Riccoboni iudicium, quo illam Ciceronis non esse ostendit. Caroli Sigonij pro eadem orationes II",,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,inception,,,,,,,1583.0,,,,,,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,has_version,,,,,,,,1583.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZyC2spPZeUPu', 'label': 'Giovanni Rossi'}",https://edit16.iccu.sbn.it/titolo/CNCE016141,https://books.google.it/books?id=JRmYI216JcsC,,,,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eSp4TWfcjPcL,Carlo Sigonio,,,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dkhz3rcSxQsh,forgery,,,,,,
Book,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita",,,"M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita","M. Tullii Ciceronis Consolatio, vel De luctu minuendo. Fragmenta eius a Carolo Sigonio, & Andrea Patritio exposita.md",cqcj2Aqa3VXi,718856681546842950556,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/biySQsPfw6te,Ciceronianism,,,,,,
