class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_pseudonym,member_label,interested_in_value,notable_work_value
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg,(Occhipinti 2017),,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,inception,,,,,,1562-04-21,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,dissolved,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",130.0,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cRAK3pJBVb36,Obbediente,Agostino Valier,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/keEYSEu5vtER,Nestore,Sperone Speroni,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VKQggydMU7W2,Risoluto,Silvio Antoniano,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,member,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iE7ttpo9PSXy,Sollecito,Giovanni Battista Amalteo,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Notti Vaticane,,['Noctes Vaticanae'],Accademia delle Notti Vaticane,Accademia delle Notti Vaticane.md,XLb6JFQe3x4B,605167772563452706341,notable_work,,,,,,,,,,,,,,,,,,,
