class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,member_of_start_date,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,related_to_relationship,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,identifier,http://www.wikidata.org/entity/Q113853427,,,,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS,(Terzaghi 2017),,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,work_location,,,,,,,,,,,,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b9uJcSq9bTFp,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Sterili di Roma,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uxki4gLFaARk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Ordinati di Roma,1627.0,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,,
Agent,Ottavio Tronsarelli,,,Ottavio Tronsarelli,Ottavio Tronsarelli.md,iRCYDktcXg33,833829642814259957629,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/692cVZSpt5VS,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Giambattista Marino,,,,,,
