class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,described_by_source_value,described_by_source_label
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,inception,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CSo9ZfMcMWd,Lecce,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,official_website,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,catalog_identifier,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,member,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,related_to,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,motto,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,2VaeG8vKXxbY,9982185787380960714,described_by_source,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
