class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,country_value,country_label
Place,Bracciano,,,Bracciano,Bracciano.md,BYCLzwjb7rVq,196649730642463933673,identifier,http://www.wikidata.org/entity/Q241791,,,,,
Place,Bracciano,,,Bracciano,Bracciano.md,BYCLzwjb7rVq,196649730642463933673,described_by_source,,,,,,
Place,Bracciano,,,Bracciano,Bracciano.md,BYCLzwjb7rVq,196649730642463933673,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YQfHpGMNj5pE,city,,
Place,Bracciano,,,Bracciano,Bracciano.md,BYCLzwjb7rVq,196649730642463933673,country,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fCq9Z2C2Jbrg,Italy
