class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_permalink,contributor_value,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,identifier,http://id.sbn.it/bid/TO0E007574,,,,,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cvnPagTJkSUk,(Testa 2020),,,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z7uBwaE4aNvc,biography,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgt4RadKQanj,album amicorum,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,title,,,,,,Teatro d'huomini letterati aperto dall'abbate Girolamo Ghilini e consacrato alla santità di nostro signore Urbano Ottauo,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,inception,,,,,,,1638.0,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w', 'label': 'Milano'}]",1638.0,https://archive.org/details/imageGXI282NarrativaOpal,http://id.sbn.it/bid/TO0E007574,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,contributor,,,,,,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,has_part,,,,,,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,based_on,,,,,,,,,,,,,,,,,
Book,Teatro d'huomini letterati,,,Teatro d'huomini letterati,Teatro d'huomini letterati.md,4R4KGX6PH3eB,49613191994968875621,catalog_identifier,,,,,,,,,,,,,,,,,
