class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F054940000010101_000000012200C,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KGUmK3TLsKkL,Girolamo Parabosco,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oEg8m8oc4mE7,Adriano Anvilla,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LxyeMrhvSzsL,Il desiderio. Primo libro de diversi eccellentissimi autori a quattro voci,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,instrumentation,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2fDabMqgM4Qn,Come potrò narrarvi il dolor mio,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,derivative_work,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,text,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,subject,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,poetic_type,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,depicts,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Come potrò narrarvi il dolor mio (Anvilla),,,Come potrò narrarvi il dolor mio (Anvilla),Come potrò narrarvi il dolor mio (Anvilla).md,bpw8hKLjZy8D,697975602611318474708,metre,,,,,,,,,,,,,,,,,,,,,
