class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,identifier,http://www.wikidata.org/entity/Q60220,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,described_by_source,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,instance_of,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,title,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,inception,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,has_version,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mrzJsD4JeQMs,Virgil,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,subject,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,has_part,,,,,,,,,,,,
Book,Aeneid,,"['Eneid', 'Eneide', 'Aeneis']",Aeneid,Aeneid.md,5vVzjuJ8tZqr,80911244330096192748,based_on,,,,,,,,,,,,
