class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,identifier,http://www.wikidata.org/entity/Q16546189,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL,(Grafton 1990),,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,work_location,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,member_of,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WstMYDCjfkv4,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9kWUQV9GFXbL', 'label': '(Grafton 1990)'}]",forger,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,related_to,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,notable_work,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,interested_in,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Curzio Inghirami,,,Curzio Inghirami,Curzio Inghirami.md,2u2A45PaK3Ey,18464595363219155338,present_in_work,,,,,,,,,,,,,,,,,
