class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,subclass_of_value,subclass_of_label,opposite_of_value,subject_value,subject_label
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,identifier,http://www.wikidata.org/entity/Q104002,,,,,,,,
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,described_by_source,,,,,,,,,
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sase3zEpuPuV,mythical character,,,,,
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,subclass_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PnkoxmTbaCXr,Muse,,,
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,opposite_of,,,,,,,,,
Concept,Urania,Muse of astronomy and astrology in Greek mythology,,Urania,Urania.md,bbbGxBiRGDwz,693143060558662851965,subject,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy
