class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,identifier,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,work_location,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2yZYoUz5K9XG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n', 'label': '(Nicolaci 2017)'}]",Accademia degli Affidati di Pavia,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,occupation,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ezwY5x5BbrjW,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Jx7QABaT7gnR', 'label': 'sibling'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n', 'label': '(Nicolaci 2017)'}]",Paolo Guidotti,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giacomo Guidotti,,,Giacomo Guidotti,Giacomo Guidotti.md,oAzRKL6YENyG,931870040432015440358,catalog_identifier,,,,,,,,,,,,,,,,,,
