class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n3jrHXfwYr6b,Vincenza Armani,,,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F9TymBhxDSmz,Notizie istoriche de' comici italiani che fiorirono intorno all'anno 1550,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,based_on,,,,,,,,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,derivative_work,,,,,,,,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,subject,,,,,,,,,,,,,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,poetic_type,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJS8XPPRYbXP,barzelletta,,,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,metre,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AorWgPRatr2C,octosyllable,,,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,depicts,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CV4DbMLKtAhw,night,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,depicts,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,depicts,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFCAfVmTYrRs,sleep,,,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Notte felice, e lieta","Notte felice, e lieta.md","Notte felice, e lieta",5iRb5WQb8PA3,76538800563142338565,text,,,,,,,,,,,,,,,,,,,"Notte felice, e lieta
Prescritta al piacer mio,
Onde l'alma s'accheta
Del suo dolce desio,
Notte in che ho ferma spene
Por fine alle mie pene.

Pur fugge or mentre io canto
Il tempo, e già s'appressa
L'ora bramata tanto
Che oggi è a mercè promessa
Della mia lunga noia,
Principio alla mia gioia.

Placido amico sonno
Deh vieni occupa i sensi
Di quei che sturbar ponno
I miei piaceri immensi,
Tal ch'io senza sospetto
Goda il mio ben perfetto.

Ecco pur giunta è l'ora
Prefissa a piacer tanto,
Ond'io senza dimora
Prendo il notturno manto,
Ed al luogo m'invio
Dove alberga il cor mio.

L'uscio, ch'io tocco appena,  
Mi sento aprir pian piano,  
Poi cheta indi mi mena  
Una invisibil mano,  
Io con tremante passo  
Lieto guidar mi lasso.

Giunto al felice loco  
Ch'è al mio piacer parato,  
Dove risplende il foco  
Ripiglio alquanto il fiato,  
E poi la lingua sciolta,  
Io parlo, ed ella ascolta.

Dunque è ben mio pur vero  
Ch'io sia da voi degnato,  
Qui dove esser già spero  
Felice, anzi beato?  
Son desto, o pur sogn'io?  
Troppo contento è il mio.

Non merta la mia pena  
Sofferta, e il mio tormento,  
Una di mille appena  
Gioie, che per voi sento:  
E mercè vostra ottegno  
Quel di ch'io sono indegno.

Ella per la tua fede  
E per tuo merto dice,  
D'amor ti si concede  
Quel che ad altri non lice,  
E coglier è a te dato  
Quel ch'è a ciascun vietato.

Dolce io l'ammiro, e insieme  
Con lei ringrazio Amore,  
Che in gioie alme e supreme  
Bear voglia il mio core.  
Poi nel piacer perduto  
La miro, e resto muto."
