class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,described_by_source_value,described_by_source_label
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,work_location,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6BSftiSanj9,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia dei Virtuosi di Perugia,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mM4gT9oXJYNU,Christian nun,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,related_to,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,notable_work,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,interested_in,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,present_in_work,,,,,,,,,,,,,,,,,
Agent,Gironda Cerrini,Gironda Cerrini.md,Gironda Cerrini,NYnBUoK6iQVV,423859517373967086807,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020)
