class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,subclass_of_value,opposite_of_value,opposite_of_label
Concept,artistic legacy,Intellectual heritage of an artist or work of art.,['intellectual heritage'],artistic legacy,artistic legacy.md,CqoJRNHkatyF,223662209821454088304,identifier,http://www.wikidata.org/entity/Q122761756,,,,,
Concept,artistic legacy,Intellectual heritage of an artist or work of art.,['intellectual heritage'],artistic legacy,artistic legacy.md,CqoJRNHkatyF,223662209821454088304,described_by_source,,,,,,
Concept,artistic legacy,Intellectual heritage of an artist or work of art.,['intellectual heritage'],artistic legacy,artistic legacy.md,CqoJRNHkatyF,223662209821454088304,instance_of,,,,,,
Concept,artistic legacy,Intellectual heritage of an artist or work of art.,['intellectual heritage'],artistic legacy,artistic legacy.md,CqoJRNHkatyF,223662209821454088304,subclass_of,,,,,,
Concept,artistic legacy,Intellectual heritage of an artist or work of art.,['intellectual heritage'],artistic legacy,artistic legacy.md,CqoJRNHkatyF,223662209821454088304,opposite_of,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PisMNabZrMmn,student
