class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XvaLF6gau6Uq,Virginia Martini Salvi,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,part_of,,,,,,,,152.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,1.0,Virginia Martini Salvi.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GJNhc2VqDoFL,martyrdom,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Oh Mio bel Sol, per quell'interno ardore",,"[""O Mio bel Sol, per quell'interno ardore""]","Oh Mio bel Sol, per quell'interno ardore","Oh Mio bel Sol, per quell'interno ardore.md",DD8pVejYLnkc,231020554024350023650,text,,,,,,,,,,,,,,,,,,,,,,,,"Oh Mio bel Sol, per quell'interno ardore,
Che l'alma mia sì dolcemente avviva,
Per quella vera gioja, che nodriva
Quando in voi pria mirai l'afflitto core;

Per quei caldi sospir, che a tutte l'ore
Passano della Tressa, oltra la riva,
Per ritrovar, chi d'ogni ben mi priva,
E la vera cagion del mio dolore;

Per le lagrime triste, e pei martiri,
Che m'ancidano ogn'or presso, e lontano,
Onde non so, com'io lassa respiri;

Per gl'occhi vaghi, e per l' amata mano,
Che m'empie il petto d'alti, e bei desiri
Deh, non rendete il mio sperare or vano."
