class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,work_location,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,member_of,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,occupation,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,related_to,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,notable_work,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,interested_in,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,catalog_identifier,,,,,,,,,,,,
Agent,Lidia,Lidia.md,Lidia,48XjN5GDRm8f,43632799976358089515,present_in_work,,,,,,,,,,,,
