class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,dissolved_reference,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,described_by_source,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,instance_of,,,[[academy]],,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,inception,,,,1530.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,dissolved,,,,,,,1555.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,location,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",92.0,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,member,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/is9c9HsiN7UB,Scipione Capece,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,notable_work,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,related_to,,,,,,,,,,,,,,,,,,,
Organisation,Accademia Martiraniana di Napoli,,,Accademia Martiraniana di Napoli,Accademia Martiraniana di Napoli.md,SRaucF9wXRNQ,503797360643266070971,motto,,,,,,,,,,,,,,,,,,,
