class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/019220000101_PPPP00015400C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,"Canto XX, 1",Orlando furioso,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PnkoxmTbaCXr,Muse,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fxEcFxXeUjcY,warrior,,,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Le donne antique hanno mirabil cose,,,Le donne antique hanno mirabil cose,Le donne antique hanno mirabil cose.md,PKzjsqUXY2o4,439868812271474938547,text,,,,,,,,,,,,,,,,,,,,,,,,"Le donne antique hanno mirabil cose
Fatto ne l'arme e ne le sacre Muse
E di lor opre belle e gloriose
Gran lume in tutto il mondo si diffuse:
Arpalice e Camilla son famose
Perché in battaglia erano esperte et use
Sapho e Corinna perche furon dotte
Splendono illustri, e mai non veggon notte."
