class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,identifier_value,described_by_source_value,described_by_source_label
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,title,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,inception,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,has_version,,,,,1567.0,https://books.google.be/books?id=TPzZcnBALRoC,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,contributor,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,subject,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,based_on,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,catalog_identifier,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,has_part,,,,,,,,,,,,,,,,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,identifier,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE047660,,
Book,Secreti novi di maravigliosa virtù,Secreti novi di maravigliosa virtù.md,Secreti novi di maravigliosa virtù,4MUCJe2QNxNi,48316717899445746169,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020)
